config,mode,profile,netem_profile,netem_seed,window,repeat,duration_s,num_workers,num_completed_tasks,num_pending_tasks,mean_ewma_tokens_per_sec,mean_ewma_step_time_s
configs/capability_demo.yaml,basic,cellular,cellular,1,0,1,3.740,3,0,1,,
configs/capability_demo.yaml,basic,cellular,cellular,1,0,2,2.774,3,0,1,,
configs/capability_demo.yaml,basic,cellular,cellular,1,0,3,2.774,3,0,1,,
configs/gale_shapley_demo.yaml,basic,cellular,cellular,1,0,1,2.772,3,0,1,,
configs/gale_shapley_demo.yaml,basic,cellular,cellular,1,0,2,2.770,3,0,1,,
configs/gale_shapley_demo.yaml,basic,cellular,cellular,1,0,3,2.773,3,0,1,,
configs/priority_demo.yaml,basic,cellular,cellular,1,0,1,2.692,2,0,2,,
configs/priority_demo.yaml,basic,cellular,cellular,1,0,2,2.692,2,0,2,,
configs/priority_demo.yaml,basic,cellular,cellular,1,0,3,2.702,2,0,2,,
configs/submit_job_demo.yaml,basic,cellular,cellular,1,0,1,5.132,2,0,2,,
configs/submit_job_demo.yaml,basic,cellular,cellular,1,0,2,5.132,2,0,2,,
configs/submit_job_demo.yaml,basic,cellular,cellular,1,0,3,5.129,2,0,2,,
