config,mode,profile,netem_profile,netem_seed,window,repeat,duration_s,num_workers,num_completed_tasks,num_pending_tasks,mean_ewma_tokens_per_sec,mean_ewma_step_time_s
configs/capability_demo.yaml,basic,degraded,degraded,1,0,1,4.700,3,0,1,,
configs/capability_demo.yaml,basic,degraded,degraded,1,0,2,3.747,3,0,1,,
configs/capability_demo.yaml,basic,degraded,degraded,1,0,3,3.735,3,0,1,,
configs/gale_shapley_demo.yaml,basic,degraded,degraded,1,0,1,3.735,3,0,1,,
configs/gale_shapley_demo.yaml,basic,degraded,degraded,1,0,2,3.736,3,0,1,,
configs/gale_shapley_demo.yaml,basic,degraded,degraded,1,0,3,3.735,3,0,1,,
configs/priority_demo.yaml,basic,degraded,degraded,1,0,1,3.479,2,0,1,,
configs/priority_demo.yaml,basic,degraded,degraded,1,0,2,2.979,2,0,2,,
configs/priority_demo.yaml,basic,degraded,degraded,1,0,3,2.980,2,0,2,,
configs/submit_job_demo.yaml,basic,degraded,degraded,1,0,1,5.276,2,0,2,,
configs/submit_job_demo.yaml,basic,degraded,degraded,1,0,2,5.279,2,0,2,,
configs/submit_job_demo.yaml,basic,degraded,degraded,1,0,3,5.277,2,0,2,,
