config,mode,profile,netem_profile,netem_seed,window,repeat,duration_s,num_workers,num_completed_tasks,num_pending_tasks,mean_ewma_tokens_per_sec,mean_ewma_step_time_s
configs/capability_demo.yaml,basic,good,good,1,0,1,3.548,3,0,1,,
configs/capability_demo.yaml,basic,good,good,1,0,2,2.581,3,0,1,,
configs/capability_demo.yaml,basic,good,good,1,0,3,2.580,3,0,1,,
configs/gale_shapley_demo.yaml,basic,good,good,1,0,1,2.576,3,0,1,,
configs/gale_shapley_demo.yaml,basic,good,good,1,0,2,2.579,3,0,1,,
configs/gale_shapley_demo.yaml,basic,good,good,1,0,3,2.572,3,0,1,,
configs/priority_demo.yaml,basic,good,good,1,0,1,2.555,2,0,2,,
configs/priority_demo.yaml,basic,good,good,1,0,2,3.057,2,0,1,,
configs/priority_demo.yaml,basic,good,good,1,0,3,3.063,2,0,1,,
configs/submit_job_demo.yaml,basic,good,good,1,0,1,5.039,2,0,2,,
configs/submit_job_demo.yaml,basic,good,good,1,0,2,5.039,2,0,2,,
configs/submit_job_demo.yaml,basic,good,good,1,0,3,5.039,2,0,2,,
